slug,food_name,common_portion,portion_grams,protein_g_per_100g,calories_per_100g,total_fat_g_per_100g,saturated_fat_g_per_100g,total_carbs_g_per_100g,fiber_g_per_100g,sugars_g_per_100g,sodium_mg_per_100g,usda_fdc_id,usda_data_type,last_verified,report_url
kidney-beans,Kidney beans,1/2 cup (89 g),89,8,124,1.1,0.2,21.5,5.5,3.8,231,174285,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/kidney-beans
hummus,Hummus,2 tbsp (30 g),30,7.8,237,17.8,2.6,15,5.5,0.6,426,174289,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/hummus
chickpeas,Chickpeas,1/2 cup (82 g),82,7.1,139,2.8,0.2,22.5,6.4,4,246,173800,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/chickpeas
pinto-beans,Pinto beans,1/2 cup (88 g),88,7,114,0.9,0.2,20.2,5.5,0.5,239,174286,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/pinto-beans
cream-cheese,Cream cheese,2 tbsp (29 g),29,6.2,350,34.4,20.2,5.5,0,3.8,314,173418,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/cream-cheese
pasta,Pasta,1 cup cooked (140 g),140,5.8,158,0.9,0.2,30.9,1.8,0.6,1,169737,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/pasta
quinoa,Quinoa,1 cup cooked (185 g),185,4.4,120,1.9,0.2,21.3,2.8,0.9,7,168917,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/quinoa
corn,Corn,1 ear (90 g),90,3.3,86,1.4,0.3,18.7,2,6.3,15,169998,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/corn
milk-2-percent,2% milk,1 cup (244 g),244,3.3,50,2,1.3,4.8,0,5.1,47,171267,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/milk-2-percent
soy-milk,Soy milk,1 cup (243 g),243,3.3,54,1.8,0.2,6.3,0.6,4,51,172446,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/soy-milk
whole-milk,Whole milk,1 cup (244 g),244,3.2,61,3.3,1.9,4.8,0,5.1,43,171265,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/whole-milk
spinach,Spinach,1 cup raw (30 g),30,2.9,23,0.4,0.1,3.6,2.2,0.4,79,168462,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/spinach
brown-rice,Brown rice,1 cup cooked (195 g),195,2.7,123,1,0.3,25.6,1.6,0.2,4,169704,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/brown-rice
white-rice,White rice,1 cup cooked (158 g),158,2.7,130,0.3,0.1,28.2,0.4,0.1,1,168878,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/white-rice
potato,Potato,1 medium (173 g),173,2.6,95,0.1,0,21.4,2.3,1.1,14,170030,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/potato
broccoli,Broccoli,1 cup chopped (156 g),156,2.4,35,0.4,0.1,7.2,3.3,1.4,41,169967,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/broccoli
avocado,Avocado,1/2 medium (68 g),68,2,160,14.7,2.1,8.5,6.7,0.7,7,171705,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/avocado
sweet-potato,Sweet potato,1 medium (130 g),130,2,90,0.2,0.1,20.7,3.3,6.5,36,168483,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/sweet-potato
banana,Banana,1 medium (118 g),118,1.1,89,0.3,0.1,22.8,2.6,12.2,1,173944,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/banana
cherries,Cherries,1 cup (138 g),138,1.1,63,0.2,0,16,2.1,12.8,0,171719,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/cherries
