slug,brand,product_name,category,upc,usda_fdc_id,serving_size,servings_per_package,calories,protein_g,total_fat_g,saturated_fat_g,total_carbs_g,fiber_g,sugars_g,added_sugars_g,sodium_mg,score,grade,protein_density_score,ingredient_quality_score,sugar_load_score,sodium_load_score,fiber_score,saturated_fat_score,last_verified,report_url
del-monte-fruit-cocktail-in-extra-light-syrup-lite-15-oz-425-g,Del Monte,"Del Monte, Fruit Cocktail In Extra Light Syrup, Lite",Canned Fruit,024000167075,2024245,0.5 cup,,59.5,0,0,0,15,0.992,13,,4.96,70,B-,50,75,48,100,36,100,2026-06-05,https://labelgrade.com/del-monte-fruit-cocktail-in-extra-light-syrup-lite-15-oz-425-g
frigo-cheese-heads-light-string-mozzarella-13-2-oz-377-g,Frigo,"Frigo, Cheese Heads, Light String Mozzarella Cheese",Cheese,041716874738,1867352,1 PIECE,,49.9,7,2.5,1.5,1,0,0,,200,70,B-,94,77,100,23,30,64,2026-06-03,https://labelgrade.com/frigo-cheese-heads-light-string-mozzarella-13-2-oz-377-g
hillshire-farm-ultra-thin-oven-roasted-turkey-breast-32-oz-2-lbs-907-g,Hillshire Farm,Ultra Thin Oven Roasted Turkey Breast,"Pepperoni, Salami & Cold Cuts",044500966862,2089415,2 oz,,59.9,10,0.498,0,2,0,1,,380,70,B-,77,61,96,31,30,100,2026-06-03,https://labelgrade.com/hillshire-farm-ultra-thin-oven-roasted-turkey-breast-32-oz-2-lbs-907-g
hormel-dinty-moore-beef-stew-18-oz-510-g,Dinty Moore,Beef Stew,Canned Meat & Entrees,037600477185,1860844,1 TRAY,,191,11,7.01,3.01,21,2.04,1.99,,1120,70,B-,56,75,92,52,36,94,2026-06-06,https://labelgrade.com/hormel-dinty-moore-beef-stew-18-oz-510-g
motts-applesauce-apple,Mott'S,"Mott'S Applesauce, Apple","Oriental, Mexican & Ethnic Sauces",0014800001792,2560684,1/2 cup (128g),,110,0,0,,27,1.02,25,15,0,70,B-,50,78,40,100,36,100,2026-06-05,https://labelgrade.com/motts-applesauce-apple
newmans-own-thin-and-crispy-margherita-pizza-13-9-oz-394-g,Newman's Own,Thin & Crispy Margherita Pizza,Pizza,020662005342,2011387,0.333 PIZZA,,280,12,12,4.51,31,3.01,2,,650,70,B-,64,72,100,48,46,78,2026-06-05,https://labelgrade.com/newmans-own-thin-and-crispy-margherita-pizza-13-9-oz-394-g
perdue-simply-smart-lightly-breaded-chicken-nuggets-20-oz-567-g,Perdue,Perdue Simply Smart Lightly Breaded Chicken Nuggets,Frozen Appetizers & Hors D'oeuvres,072745806773,2020041,85 g (5 pieces),7,180,12,10,2,10,0,1,,500,70,B-,71,75,96,41,30,85,2026-05-27,https://labelgrade.com/perdue-simply-smart-lightly-breaded-chicken-nuggets-20-oz-567-g
post-honey-roasted-bunches-of-oats-cereal-2-oz-57-g,Post,Honey Bunches of Oats Honey Roasted Cereal Cup,Cereal,884912280565,2653146,1 cup (57 g),,220,4,2,0,46,2,11,9.98,200,70,B-,61,70,60,63,55,100,2026-05-28,https://labelgrade.com/post-honey-roasted-bunches-of-oats-cereal-2-oz-57-g
power-crunch-protein-energy-bar-mocha-creme-1-4-oz-40-g,Power Crunch,"Power Crunch Protein Energy Bar, Mocha Creme","Snack, Energy & Granola Bars",644225727207,1904336,1 bar (40 g),,205,13,13,6,10,1,5,,120,70,B-,99,70,84,67,48,33,2026-05-28,https://labelgrade.com/power-crunch-protein-energy-bar-mocha-creme-1-4-oz-40-g
premier-protein-high-bar-dark-chocolate-mint-2-53-oz-72-g,Premier Protein,Premier Protein High Protein Bar — Dark Chocolate Mint,"Snack, Energy & Granola Bars",643843000563,2038520,1 bar (72 g),1,280,30,7,5,26,3.02,10,,360,70,B-,100,65,74,47,59,60,2026-05-27,https://labelgrade.com/premier-protein-high-bar-dark-chocolate-mint-2-53-oz-72-g
tyson-chicken-nuggets-29-oz-1-81-lbs-822-g,Tyson,Tyson Chicken Nuggets,Frozen Appetizers & Hors D'oeuvres,023700014498,2617888,90 g (5 pieces),9,270,14,17,4,15,0,0,,470,70,B-,73,75,100,46,30,73,2026-05-27,https://labelgrade.com/tyson-chicken-nuggets-29-oz-1-81-lbs-822-g
annies-organic-shells-and-white-cheddar-macaroni-cheese-6-onz,Annie's,Organic Shells & White Cheddar Mac & Cheese,Macaroni & Cheese,00013562300631,2747426,2.5 oz dry mix About 1 cup prepared,,260,9,4,2,48,2.98,4,0,560,69,C+,69,72,100,26,59,81,2026-06-05,https://labelgrade.com/annies-organic-shells-and-white-cheddar-macaroni-cheese-6-onz
boost-high-protein-chocolate-sensation-shake,Boost,Boost High Protein Chocolate Sensation Nutritional Drink,Protein Shakes (Ready-to-Drink),041679394878,2468764,1 bottle (8 fl oz / 237 ml),,239,15,6,1,33,0,15,12,199,69,C+,59,62,52,100,30,98,2026-05-28,https://labelgrade.com/boost-high-protein-chocolate-sensation-shake
california-pizza-kitchen-margherita-recipe-crispy-thin-crust-frozen-15-5-oz-box-onz,California Pizza Kitchen,Margherita Crispy Thin Crust Pizza,Pizza,00071921290535,2768999,1/3 pizza (146g),,299,12,16,6.99,29,2.04,4,1.02,460,69,C+,62,67,96,66,40,71,2026-06-05,https://labelgrade.com/california-pizza-kitchen-margherita-recipe-crispy-thin-crust-frozen-15-5-oz-box-onz
gatorade-g2-thirst-quencher,Gatorade,G2 Thirst Quencher,Sports Drinks,099999002393,2088133,20 fl oz,,48,0,0,0,12,0,12,,270,69,C+,50,67,52,100,30,100,2026-06-06,https://labelgrade.com/gatorade-g2-thirst-quencher
general-mills-sales-inc-old-el-paso-thick-n-chunky-medium-salsa,General Mills Sales Inc.,Old El Paso Thick 'N Chunky Medium Salsa,Sauces/Spreads/Dips/Condiments,00046000855417,759130,2 Tbsp (30g),,9.9,0.999,0,0,3,0.99,0.999,,190,69,C+,55,72,93,33,53,100,2026-06-05,https://labelgrade.com/general-mills-sales-inc-old-el-paso-thick-n-chunky-medium-salsa
great-value-chicken-nuggets-32-oz-2-lbs-907-g,Great Value,Great Value Chicken Nuggets,Frozen Appetizers & Hors D'oeuvres,078742122953,2676531,75 g (4 nuggets),12,150,9,8,1.5,13,2.02,0,,430,69,C+,68,60,100,42,49,88,2026-05-27,https://labelgrade.com/great-value-chicken-nuggets-32-oz-2-lbs-907-g
kraft-mozzarella-string-cheese-snacks-20-oz-566-g,Kraft,Kraft Mozzarella String Cheese Snacks,Cheese,021000044719,2617595,1 stick (24 g),,60,6,3.5,2,1,0,0,0,180,69,C+,88,82,100,27,30,55,2026-05-27,https://labelgrade.com/kraft-mozzarella-string-cheese-snacks-20-oz-566-g
nature-valley-protein-chewy-bars-peanut-butter-dark-chocolate,Nature Valley,"Nature Valley, Protein Chewy Bars, Peanut Butter, Dark Chocolate, Peanut Butter, Dark Chocolate","Snack, Energy & Granola Bars",016000457232,1636005,1 BAR,,190,10,12,3.5,14,5,6,,180,69,C+,88,65,67,51,100,53,2026-06-03,https://labelgrade.com/nature-valley-protein-chewy-bars-peanut-butter-dark-chocolate
pirates-booty-aged-white-cheddar-6-oz-170-g,Pirate's Booty,Pirate's Booty Aged White Cheddar Puffs,Popcorn & Puffed Snacks,015665771455,1861633,1 oz (28 g),,130,2,5,1,19,0,0,,140,69,C+,61,80,100,47,30,77,2026-05-28,https://labelgrade.com/pirates-booty-aged-white-cheddar-6-oz-170-g
sun-chips-sunchips-harvest-cheddar-multigrain-snacks-2-75-ounce-plastic-bag,SunChips,Harvest Cheddar Multigrain Snacks,"Chips, Pretzels & Snacks",00028400097918,1457880,about 15 chips (28g),,140,2,6,0.501,19,1.99,2,,200,69,C+,61,67,95,29,80,89,2026-06-05,https://labelgrade.com/sun-chips-sunchips-harvest-cheddar-multigrain-snacks-2-75-ounce-plastic-bag
welchs-jelly-concord-grape-18-8-oz-533-g,Welch's,Concord Grape Jelly,Jam & Jelly,04181238,1850324,1 Tbsp,,20.1,0,0,0,5,0,5,,15,69,C+,50,78,35,100,30,100,2026-06-06,https://labelgrade.com/welchs-jelly-concord-grape-18-8-oz-533-g
arizona-green-tea-with-ginseng-and-honey-16-9-fl-oz-500-ml,AriZona,Green Tea with Ginseng & Honey,Iced Tea,613008743734,2042392,8 OZA,,60,0,0,0,17,0,16,,9.6,68,C+,50,75,36,100,30,100,2026-06-06,https://labelgrade.com/arizona-green-tea-with-ginseng-and-honey-16-9-fl-oz-500-ml
cheerios-protein-cinnamon-breakfast-cereal-32-6-onz,Cheerios,Cheerios Protein Cinnamon Cereal,Cereal,00016000233188,2742792,1 cup (37 g),,150,8,2.5,0,24,2,12,12,210,68,C+,82,72,29,42,68,100,2026-05-28,https://labelgrade.com/cheerios-protein-cinnamon-breakfast-cereal-32-6-onz
chef-boyardee-beefaroni-15-onz,Chef Boyardee,Beefaroni,Canned Meat & Entrees,00064144043026,2740347,1 can (425g),,348,9.99,13,5.02,48,2.12,7.99,5.1,1280,68,C+,54,66,80,67,33,94,2026-06-06,https://labelgrade.com/chef-boyardee-beefaroni-15-onz
chex-rice-cereal-1-4-onz,General Mills,Rice Chex Cereal,Cereal,00016000141575,2746519,1 container,,150,3,1,0,35,2,3,3,310,68,C+,61,69,84,26,65,100,2026-06-05,https://labelgrade.com/chex-rice-cereal-1-4-onz
clif-bar-kits-organic-fruit-nut-chocolate-almond-coconut-1-69-oz-48-g,Clif Bar,Clif Kit's Organic Dark Chocolate Almond Coconut Fruit + Nut Bar,"Snack, Energy & Granola Bars",722252014221,2586177,1 bar (48 g),,190,4,12,4.5,25,4.99,15,,105,68,C+,62,78,62,74,100,51,2026-05-28,https://labelgrade.com/clif-bar-kits-organic-fruit-nut-chocolate-almond-coconut-1-69-oz-48-g
galbani-mozzarella-cheese-32-oz-907-g,Galbani,"Galbani, Mozzarella Cheese",Cheese,074030001306,1863797,1 oz,,90,8,6,3.5,0.999,0,0,,190,68,C+,90,82,100,33,30,41,2026-06-03,https://labelgrade.com/galbani-mozzarella-cheese-32-oz-907-g
